galaxyID,timestep,t,z,M_star,R_halflight_s,R_halflight_c,R_halfmass,sigma_allstars_global,sigma_allstars_los,sigma_youngstar_global,sigma_youngstar_los,sigma_allgas_global,sigma_allgas_los,sigma_coldgas_global,sigma_coldgas_los,sigma_hotgas_global,sigma_hotgas_lossigma_gasNearYS_los,alpha,SFR_10,SFR_100,sSFR_10,sSFR_100
569,001152,3.893926240825659,1.6704464355583686,112040141.92161901,935.2785549445225,601.9619561540238,4.425048828125,20.04952437970092,7.702565192321101,10.992614614416093,7.742581962195464,21.594236981082734,7.702565192321101,50.636613738519245,30.220304890842456,20.996545095028086,30.667479297417852,12.972834920117652,-0.16457234606120047,316938.3520060512,6467462.936085131,-9.54839885489324,-9.238639701745214
569,001056,3.5708753424578012,1.8348024101644114,93561838.43142852,831.0967607483682,532.6315230171675,5.60760498046875,17.714645289198284,8.068021722683142,10.454857110198969,8.017703545739433,19.68003855563843,8.068021722683142,36.96728762853271,24.599019396690124,19.426379801914234,24.770650535126034,9.712392573609954,-0.20584320078132357,24174.829455668936,327853.171254227,-10.58773532785348,-10.455419357973756
569,000960,3.2478244440852184,2.02529183620703,80244235.31366104,732.878455571585,468.10073384949317,7.0953369140625,15.505711904977668,11.1434377499312,12.29040249353822,9.761926961608696,20.947442723327615,11.1434377499312,50.63903142076302,29.12493678635729,19.834503877268816,27.951326641249103,11.607810862943087,-0.15195436555452252,170765.41519208287,7951688.431002416,-9.672013924414351,-9.003954487932372
569,000864,2.9247735457157664,2.2494992402825114,61735885.086656906,635.4190316497993,402.1130031734403,7.171630859375,13.485072258405008,11.351056828400116,16.198731650667902,11.077977881173311,20.5290599580097,11.351056828400116,42.71011821476698,27.40054023308428,20.051234155378886,27.950353866062024,10.560006042971452,-0.2288499024477278,35412.5703798977,4824446.035693601,-10.241380228201878,-9.107090225937158
569,000768,2.6017226473442543,2.5184003999773257,47280483.52059077,546.2204671395659,343.3343032963957,12.4359130859375,19.3711810154735,7.077725816039063,12.82136339822638,6.473543957894877,25.73179137870776,7.077725816039063,33.662398439247994,22.316009837438642,24.528076610757967,22.24452034707,13.441762435457285,0.01848560809992274,3526677.1002459307,5834154.827562921,-8.127316211440272,-8.908703958967871
569,000672,2.2786717489702304,2.8485597322060383,35341415.4646022,450.20066002067404,281.37496381315395,18.9208984375,14.288180610993768,8.957779268130974,16.609926692321352,8.385789492723404,27.186685644359454,8.957779268130974,40.47855664627526,26.091410072982768,25.093724823523043,26.001974012117998,11.545500726782869,-0.008193113953701201,397696.6676379812,3121897.064085905,-8.948731987535389,-9.053865360211757
569,000576,1.9556208505969157,3.266336509488029,28073031.617551006,361.33369728790836,224.99817646187162,23.1170654296875,12.956018880000684,5.548600800749707,10.795681260779832,5.7451679428115785,25.78704268721778,5.548600800749707,35.44040597757315,22.396279501457656,24.950117341956645,22.5148613927201,8.215512829090024,0.007634071735780745,395554.15311374015,2803037.5085792644,-8.851083366056004,-9.0006604055268
569,000480,1.6325699522216501,3.816678419742728,20753467.06233622,277.0050409519366,170.2423332564777,22.6593017578125,12.466698945624646,6.793973060033474,8.282943741696291,6.778003855397582,20.13056366749895,6.793973060033474,32.76570003117915,21.843607647274233,19.323759227238565,21.650406027223706,8.139136068918425,-0.5114884610649987,116876.02604478155,2232612.1361875767,-9.249365223564881,-8.968277378917245
569,000384,1.3095190538467472,4.583801606439459,12244429.776004633,211.14305786018798,122.17364686890176,22.69744873046875,15.735916366116088,15.778291121140153,21.599753422288426,14.473487671625303,20.27971282895657,15.778291121140153,44.26244354737955,27.659872881128962,16.596997487630137,28.214634589411403,13.499363826724236,-0.5355313278229562,151962.7828805015,2872769.537111702,-8.906201326655182,-8.62963777792801
569,000288,0.9864681554754078,5.748642482307198,3452575.9598074257,139.2155913309668,54.0645806902825,17.371177673339844,17.009428919023396,8.275735530494442,9.974326163439635,8.70015828239671,17.806341630689236,8.275735530494442,19.653044237433104,13.21374784926008,14.257244227095962,14.15410661227988,11.358348013395624,-0.5746276537361918,48016.035855268485,454494.8772352624,-8.856756939844978,-8.880614249722601
569,000192,0.6634172571030841,7.795747394204357,2635551.582261429,91.55943246959814,20.173657842341882,6.375312805175781,16.251660612679792,13.905385945541182,24.29767772729735,13.533581986077818,17.366495218229343,13.905385945541182,21.259051516746293,13.999150953463658,14.554168302539898,13.892505904949846,6.980893295023623,-0.37568032520503225,6813.523344243204,222377.2556456262,-9.587499772300147,-9.073781154215428
